Protein.Group	Protein.Names	Genes	First.Protein.Description	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1		1.0845e+07	1.20256e+07	1.16454e+07	1.41896e+07	1.72998e+07	2.26379e+07	1.33703e+07	1.38604e+07	1.22215e+07	1.30967e+07	1.27679e+07	1.33711e+07	1.46932e+07	1.38424e+07	1.31742e+07	1.25004e+07	6.64309e+06	1.05407e+07	9.27304e+06	1.35167e+07	8.6099e+06	1.27711e+07	1.18942e+07	1.64183e+07	1.29472e+07	1.52553e+07	1.56931e+07
A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D																		1.11543e+06										
A0A0C4DH30	HV316_HUMAN	IGHV3-16														999497						482541								
A0A0C4DH31	HV118_HUMAN	IGHV1-18																						740776						
A0A0C4DH32	HV320_HUMAN	IGHV3-20									475987																			
A0A0C4DH35	HV335_HUMAN	IGHV3-35																					1.83703e+06							
A0A0C4DH36	HV338_HUMAN	IGHV3-38					866174		856188	689643	520620										843148									
A0A0C4DH72	KV106_HUMAN	IGKV1-6																				692849		1.16228e+06						
A0A0C4DH73	KV112_HUMAN	IGKV1-12																						3.66591e+07						
A0A0C5B5G6	MOTSC_HUMAN	MT-RNR1						701445								601056						841898	856356					505090		
A0A0G2JMI3	HV692_HUMAN	IGHV1-69-2																											1.62728e+06	
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1														1.95523e+06														
A0A0J9YXM7	TJB15_HUMAN	TRBJ1-5											187827										134538					76847.5		
A0A0J9YXV3	GREP1_HUMAN	GREP1													591353															
A0A0J9YXY3;P0DPF7	TVB62_HUMAN;TVB63_HUMAN	TRBV6-2;TRBV6-3																	1.22381e+06											
A0A0K0K1A5	TVB65_HUMAN	TRBV6-5		4.52811e+06	4.01267e+06	4.13487e+06	5.85985e+06	6.44586e+06	5.68289e+06	3.82195e+06	3.13442e+06	3.6557e+06	3.18099e+06	3.54951e+06	4.90648e+06	3.70246e+06	3.80651e+06	4.76699e+06	6.0379e+06	4.72729e+06	4.84762e+06	3.63932e+06	4.92105e+06	4.04142e+06	4.09195e+06	5.18792e+06	5.79652e+06	6.11404e+06	4.03157e+06	
A0A0K0K1C0	TVBK1_HUMAN	TRBV11-1																1.00715e+06												
A0A0K0K1E9;A0A1B0GX31	TVB76_HUMAN;TVB77_HUMAN	TRBV7-6;TRBV7-7			125075																									
A0A0K0K1G6	TVBJ3_HUMAN	TRBV10-3																									209021			163079
A0A0K2S4Q6	CD3CH_HUMAN	CD300H																				871703								
A0A0U1RQG5	CT47C_HUMAN	CT47C1																					1.94758e+06							
A0A0U1RQI7	KLF18_HUMAN	KLF18																		762412										
A0A0U1RRA0	ZNOS_HUMAN	ZNF593OS																				226777		199088	363181				204300	167658
A0A0U1RRI6	CENL3_HUMAN	CENPVL3		372396		213963														720014										
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS		2.53083e+06	3.20519e+06	2.0243e+06	1.16082e+07	3.87722e+06	3.95911e+06	2.46005e+06	2.19845e+06	1.74279e+06	1.69586e+06	3.34925e+06	3.06454e+06	8.08741e+06	1.04336e+07	8.9452e+06	7.61097e+06	7.9902e+06	8.07599e+06	9.29999e+06	3.18263e+06	2.83734e+06	2.41458e+06	3.31919e+06	3.4465e+06	3.0067e+06	3.43545e+06	3.26536e+06
A0A0U1RRN3	MISFA_HUMAN	MISFA																						215514						
A0A1B0GTI1	CC201_HUMAN	CCDC201														133731														
A0A1B0GTK4	F237A_HUMAN	FAM237A					2.74165e+06																							
A0A1B0GTK5;P0DP71	F236C_HUMAN;F236D_HUMAN	FAM236C;FAM236D																											37340.4	
A0A1B0GTL2	CT204_HUMAN	C20orf204					254998		157231							248701					155514									
A0A1B0GTR3;P0DPH9	CX05A_HUMAN;CX05B_HUMAN	CXorf51A;CXorf51B							1.3364e+06																					
A0A1B0GTS1;A0A1B0GWH4	HSFX3_HUMAN;HSFX4_HUMAN	HSFX3;HSFX4													6.24777e+06															
A0A1B0GTW7	CIROP_HUMAN	CIROP					1.89553e+06																							
A0A1B0GUC4	MYCOS_HUMAN	MYOCOS		2.71606e+06																									1.013e+06	
A0A1B0GUS4	UB2L5_HUMAN	UBE2L5						700904				390856	586492		321254		417747					367860			573336	241837			398950	672548
A0A1B0GUT2	CJ143_HUMAN	C10orf143			679882																									
A0A1B0GUY1	MRCOL_HUMAN	MARCOL			1.97152e+06	1.52913e+06										1.04641e+06	1.17289e+06									1.19715e+06	1.04575e+06		1.32486e+06	
A0A1B0GV85	RELD1_HUMAN	REELD1		2.91247e+06											2.73554e+06															
A0A1B0GVQ0	SPAR_HUMAN	SPAAR																						276104						
A0A1B0GVQ3	CC200_HUMAN	CCDC200									1.1721e+06				1.63675e+06		1.77627e+06													
A0A1B0GVR7	F240C_HUMAN	FAM240C			499990	543631			722373	584595						838525		993741	868524							870303		875816		
A0A1B0GVZ2	F240B_HUMAN	FAM240B																7.73578e+06												
A0A1B0GW54	SIM39_HUMAN	SMIM39																											4.8698e+06	
A0A1B0GWG4	SRTM2_HUMAN	SERTM2														4.53024e+06														
A0A1B0GX68	TVB2_HUMAN	TRBV2															1.35179e+06													
A0A1W2PP81;A0A1W2PR64;A0A1W2PRV1;P0DW11;P0DW12;P0DW13;P0DW14	TFKL3_HUMAN;TFKL5_HUMAN;TFKL6_HUMAN;TFKL7_HUMAN;TFKL8_HUMAN;TFKL9_HUMAN;TFKLJ_HUMAN	TAF11L10;TAF11L3;TAF11L5;TAF11L6;TAF11L7;TAF11L8;TAF11L9																											905150	
A0A1W2PP97	THSD8_HUMAN	THSD8			849808		695974				669729																614096	469144		
A0A1W2PPD8	KDM4F_HUMAN	KDM4F				1.96288e+06																								
A0A1W2PPF3	DUXB_HUMAN	DUXB			505370										850411	3.05765e+06				2.37215e+06										
A0A1W2PPG7	GBG14_HUMAN	GNG14														950518									80062.5				94520.5	
A0A1W2PPL8	TFKLN_HUMAN	TAF11L14														241690												134271		
A0A1W2PQJ5	S72L3_HUMAN	SSU72L3					1.88059e+06				2.21858e+06			1.67724e+06			1.48774e+06	1.45169e+06	1.40072e+06											
A0A1W2PS18	PMIS2_HUMAN	PMIS2									3.85817e+06			1.76851e+06		3.6729e+06														
A0A2R8Y619	H2BK1_HUMAN	H2BK1		1.10269e+09	1.58348e+09	1.41846e+09	8.43436e+08	1.52944e+09	1.04085e+09	1.38301e+09	1.07906e+09	1.28332e+09	1.52312e+09	1.28858e+09	1.29162e+09	1.25519e+09	1.48602e+09	8.16891e+08	1.14278e+09	1.58502e+09	1.48058e+09	1.16134e+09	1.21688e+09	1.53819e+09	1.15925e+09	1.25504e+09	1.34219e+09	1.35384e+09	1.47423e+09	1.18315e+09
A0A2R8YFL7	OSP4A_HUMAN	OOSP4A																		25745.9				209973						
A0A2Z4LIS9	FXO3B_HUMAN	FOXO3B							235281				230411									180771								
A0A3B3IT52	MSD5_HUMAN	MSANTD5																								789532				
A0A494C086	SPD21_HUMAN	SPDYE21																										2.01885e+06		
A0A494C0N9;A0A494C0Y3	F246A_HUMAN;F246B_HUMAN	FAM246A;FAM246B														206016							183467					124696		
A0A539	TVB42_HUMAN	TRBV4-2					771530														928238	711552					1.20921e+06			
A0A576	TVB31_HUMAN	TRBV3-1			186531	217247			304202	219216	152241										204239		526136	343060			401228	378282		
A0A584	TVBK2_HUMAN	TRBV11-2																			163990									
A0A5B0	TVB14_HUMAN	TRBV14		204986		223469													179509											
A0A6I8PU40	TUG1_HUMAN	TUG1				1.26313e+06																								
A0A804HLA8	GBG5B_HUMAN	GNG5B							1.27656e+06														1.17688e+06						985522	
A0A8I5KQE6	RPSA2_HUMAN	RPSA2		1.25526e+09	1.42465e+09	1.40776e+09	1.52342e+09	1.12527e+09	1.43646e+09	1.32178e+09	1.33068e+09	1.1305e+09	1.16277e+09	1.43104e+09	1.36078e+09	1.26036e+09	1.48907e+09	1.37646e+09	1.34901e+09	1.31834e+09	1.19151e+09	1.29341e+09	1.20149e+09	1.11767e+09	1.19485e+09	1.32464e+09	1.34284e+09	1.17756e+09	1.2686e+09	1.20825e+09
A0A8I5KY20	CC92B_HUMAN	CCDC92B																						372984						
A0A8V8TNH8	F90AB_HUMAN	FAM90A11																			992267									
A0AV96	RBM47_HUMAN	RBM47				339675		1.05196e+06	185534														955580	680560	590078	2.01645e+06	576839	549057		
A0AVF1	IFT56_HUMAN	IFT56				783953	1.60375e+06	2.04214e+06	2.18379e+06	772836	863101	639971	910286	517406	539363	1.71557e+06	1.54025e+06	1.5758e+06	1.48221e+06	1.78165e+06	1.51869e+06	1.22867e+06	1.67988e+06	1.76657e+06	2.07793e+06	2.30544e+06	2.10169e+06	2.06775e+06	2.45938e+06	2.21728e+06
A0AVK6	E2F8_HUMAN	E2F8		819797	821921	787859		919576	1.18784e+06	685195	971273	798665	896605	760899	968585	550816	545468	492561	394321	515956	614363	421897	753874	925852	906253	946415	702933	802709	1.02831e+06	1.09957e+06
A0AVT1	UBA6_HUMAN	UBA6		3.46681e+07	3.08615e+07	3.49185e+07	2.65859e+07	3.89785e+07	3.81288e+07	3.56891e+07	3.50104e+07	3.76257e+07	3.29352e+07	3.21581e+07	3.37831e+07	2.75926e+07	2.93194e+07	2.75242e+07	2.61616e+07	2.92546e+07	2.71662e+07	2.70399e+07	3.82123e+07	3.5201e+07	3.61072e+07	3.90955e+07	3.85412e+07	4.18402e+07	3.58314e+07	3.70948e+07
A0FGR8	ESYT2_HUMAN	ESYT2		7.65757e+07	7.27802e+07	6.97021e+07	1.0016e+08	7.80832e+07	9.99715e+07	7.40269e+07	7.71242e+07	6.44175e+07	6.39045e+07	7.39973e+07	7.48701e+07	9.26747e+07	8.49987e+07	8.93801e+07	9.09029e+07	8.62293e+07	8.98108e+07	8.69295e+07	7.41458e+07	6.27238e+07	6.62798e+07	7.4929e+07	8.61565e+07	8.61934e+07	8.3686e+07	9.10108e+07
A0JLT2	MED19_HUMAN	MED19		9.55937e+06	8.86323e+06	1.06196e+07	1.21943e+07	1.04805e+07	1.19049e+07	7.76139e+06	9.73081e+06	9.76635e+06	8.92777e+06	7.89323e+06	1.00565e+07	1.22619e+07	1.2234e+07	1.41613e+07	1.24588e+07	1.22265e+07	1.02512e+07	1.024e+07	1.12738e+07	8.8269e+06	9.77196e+06	1.01973e+07	1.12113e+07	1.01569e+07	1.10706e+07	1.12571e+07
A0JNW5	BLT3B_HUMAN	BLTP3B		5.34219e+06	4.75931e+06	4.79438e+06	4.28131e+06	3.88849e+06	4.46696e+06	5.02177e+06	5.14364e+06	5.42524e+06	4.38892e+06	4.76249e+06	4.99721e+06	4.63085e+06	4.34038e+06	4.01445e+06	4.31367e+06	3.97862e+06	3.96907e+06	4.03041e+06	3.74827e+06	3.55167e+06	3.63252e+06	3.60964e+06	4.14171e+06	3.94178e+06	4.06735e+06	4.04245e+06
A0MZ66	SHOT1_HUMAN	SHTN1		8.56349e+06	6.24814e+06	7.3907e+06	5.15398e+06	9.72338e+06	1.04636e+07	8.37776e+06	7.13752e+06	8.08886e+06	7.49995e+06	7.10389e+06	6.80172e+06	8.76674e+06	7.79811e+06	8.00532e+06	7.37223e+06	7.76723e+06	4.62379e+06	4.71635e+06	1.28045e+07	1.345e+07	1.31978e+07	1.13552e+07	8.24507e+06	7.06532e+06	1.05127e+07	1.07642e+07
A0PG75	PLS5_HUMAN	PLSCR5				638125	523888	526149	774657			516232		982674		748362			1.16452e+06	993785	701554				1.11956e+06	870843		744542	859590	782527
A0PJE2	DHR12_HUMAN	DHRS12														1.76936e+06														
A0PJK1	SC5AA_HUMAN	SLC5A10		488989												346445		867442			385647									
A0PJW6	TM223_HUMAN	TMEM223		8.7389e+06	9.91577e+06	9.71792e+06	1.12113e+07	1.35237e+07	9.91451e+06	9.67103e+06	1.12027e+07	1.27647e+07	1.04691e+07	7.99272e+06	9.63934e+06	1.11908e+07	9.28575e+06	1.15997e+07	1.05856e+07	1.04224e+07	1.25595e+07	1.23005e+07	9.76786e+06	1.00397e+07	1.08167e+07	9.65365e+06	8.81547e+06	1.08399e+07	1.01e+07	1.15753e+07
A0PJX2	TLDC2_HUMAN	TLDC2			183564			384093	211437	190466				184535		101364					110732	124905	379022						175612	
A0PJX8	TMM82_HUMAN	TMEM82				3.98253e+06																								
A0PJZ0	A20A5_HUMAN	ANKRD20A5P																		638439										
A0PK00	T120B_HUMAN	TMEM120B				1.48881e+06	2.23044e+06	2.09152e+06				1.59315e+06	2.37188e+06			3.37972e+06	2.97955e+06	2.97453e+06	2.71638e+06	2.88882e+06	1.85367e+06	2.77845e+06		3.50761e+06		2.24215e+06		2.58261e+06	2.17895e+06	2.40358e+06
A1A519	F170A_HUMAN	FAM170A										102282																		
A1A5B4	ANO9_HUMAN	ANO9														2.50676e+06					2.39657e+06	2.27606e+06	3.6764e+06			3.80255e+06		3.27124e+06		
A1A5D9	BICL2_HUMAN	BICDL2																150204												
A1KXE4	F168B_HUMAN	FAM168B						249535				1.13867e+06	247938			251982						218259		606602	204165				186506	245060
A1L020	MEX3A_HUMAN	MEX3A						1.0222e+06				1.18441e+06				1.23475e+06	1.46695e+06	1.84562e+06	1.07205e+06	1.43701e+06	1.46193e+06	1.24205e+06	1.06046e+06	934587	1.17573e+06	757918	504990	1.36792e+06	512835	1.0805e+06
A1L0T0	HACL2_HUMAN	ILVBL		1.64187e+07	1.80809e+07	1.71454e+07	2.25512e+07	1.10379e+07	1.32916e+07	1.71237e+07	1.78964e+07	1.36537e+07	1.53468e+07	1.69183e+07	1.79953e+07	2.22827e+07	1.88556e+07	2.16332e+07	1.91782e+07	1.97453e+07	1.9171e+07	1.89107e+07	1.16319e+07	1.13557e+07	1.18177e+07	1.19242e+07	1.30483e+07	8.29285e+06	1.25065e+07	1.26865e+07
A1L157	TSN11_HUMAN	TSPAN11			1.23267e+07							1.31734e+07											1.26888e+07			1.35397e+07	1.30752e+07			1.61583e+07
A1L162	ERIC2_HUMAN	ERICH2																												1.04699e+06
A1L167	U2QL1_HUMAN	UBE2QL1															291531		206782											
A1L188	NDUF8_HUMAN	NDUFAF8		1.49474e+06	1.94167e+06	1.91168e+06	1.56335e+06	922626	998217	1.79937e+06	1.99737e+06	1.47361e+06	1.17655e+06	2.22134e+06	2.53483e+06	1.71358e+06	1.44314e+06	1.95502e+06	1.65561e+06	1.04942e+06	1.37354e+06	1.01262e+06	1.08305e+06			1.44352e+06	1.41301e+06	1.34582e+06	869445	
A1L390	PKHG3_HUMAN	PLEKHG3														1.6715e+06		1.36789e+06	808960											
A1L3X4	MT1DP_HUMAN	MT1DP														204156			263554		321006	371746								
A1L453	PRS38_HUMAN	PRSS38				313390																								
A1L4L8	PL8L1_HUMAN	PLAC8L1																1.07516e+06						883211			939406			
A1L4Q6	YK033_HUMAN																		6.73617e+06											
A1X283	SPD2B_HUMAN	SH3PXD2B						6.26197e+06	3.86951e+06														5.73468e+06	5.7697e+06	6.02098e+06	6.31946e+06	5.62211e+06	5.17128e+06	3.81727e+06	3.69375e+06
A1XBS5	CBAR1_HUMAN	CIBAR1						1.38143e+06	972085								719437	766573	747665	779175				1.5394e+06	1.40208e+06				1.21196e+06	
